0|name_eng|1|city_eng|2|country_eng|3|latitude|4|longitude|5|runway_elevation
Anaa|Anaa|Anaa|Anaa|French Polynesia|French Polynesia|-17.355000|-17.355000|-145.508333|-145.508333|3|3
Arrabury|Arrabury|Arrabury|Arrabury|Australia|Australia|-26.690556|-26.690556|141.047500|141.047500|101|101
Al Arish International Airport|Al Arish International Airport|Al Arish|Al Arish|Egypt|Egypt|31.073333|31.073333|33.835833|33.835833|37|37
Ad-Dabbah|Ad-Dabbah|Ad-Dabbah|Ad-Dabbah|Sudan|Sudan|17.592777777778|17.592777777778|33.959166666667|33.959166666667||
Les Salines|Les Salines|Annaba|Annaba|Algeria|Algeria|36.822222|36.822222|7.809444|7.809444|5|5
Municipal|Municipal|Apalachicola|Apalachicola|United States|United States|29.727607|29.727607|-85.027442|-85.027442|6|6
Arapoti|Arapoti|Arapoti|Arapoti|Brazil|Brazil|-24.103875|-24.103875|-49.789078|-49.789078|805|805
Aachen/Merzbruck|Aachen/Merzbruck|Aachen|Aachen|Germany|Germany|50.823056|50.823056|6.186111|6.186111|190|190
Arraias|Arraias|Arraias|Arraias|Brazil|Brazil|-13.025|-13.025|-46.884|-46.884|586|586
Cayana Airstrip|Cayana Airstrip|Awaradam|Awaradam|Suriname|Suriname|3.898611|3.898611|-55.577778|-55.577778||
Aranuka|Aranuka|Aranuka|Aranuka|Kiribati|Kiribati|0.185278|0.185278|173.636667|173.636667|2|2
Aalborg|Aalborg|Aalborg|Aalborg|Denmark|Denmark|57.092789|57.092789|9.849164|9.849164|3|3
Mala Mala|Mala Mala|Mala Mala|Mala Mala|South Africa|South Africa|-24.818111|-24.818111|31.544584|31.544584|343|343
Al Ain|Al Ain|Al Ain|Al Ain|United Arab Emirates|United Arab Emirates|24.261667|24.261667|55.609167|55.609167|265|265
Anaco|Anaco|Anaco|Anaco|Venezuela|Venezuela|9.430225|9.430225|-64.470725|-64.470725|220|220
Andrau Airpark|Andrau Airpark|Houston, TX|Houston, TX|United States|United States|72.886944|72.886944|-55.596111|-55.596111|13|13
Vityazevo|Vityazevo|Anapa|Anapa|Russian Federation|Russian Federation|45.002097|45.002097|37.347272|37.347272|53|53
Aarhus Airport|Aarhus Airport|Aarhus|Aarhus|Denmark|Denmark|56.300017|56.300017|10.619008|10.619008|25|25
Apalapsili|Apalapsili|Apalapsili|Apalapsili|Indonesia|Indonesia|-3.883|-3.883|139.283|139.283|914|914
Altay|Altay|Altay|Altay|China|China|47.749|47.749|88.089|88.089||
Asau|Asau|Asau|Asau|Samoa|Samoa|-13.505778|-13.505778|-172.627972|-172.627972|2|2
Allah Valley|Allah Valley|Surallah|Surallah|Philippines|Philippines|6.366817|6.366817|124.751294|124.751294|201|201
Abbottabad|Abbottabad|Abbottabad|Abbottabad|Pakistan|Pakistan|34.150|34.150|73.217|73.217||
Araxa|Araxa|Araxa|Araxa|Brazil|Brazil|-19.563247|-19.563247|-46.960358|-46.960358|999|999
Al Ghaydah|Al Ghaydah|Al Ghaydah|Al Ghaydah|Yemen|Yemen|16.191666|16.191666|52.175000|52.175000|41|41
Ambriz|Ambriz|Ambriz|Ambriz|Angola|Angola|14.865550|14.865550|-91.501981|-91.501981|2371|2371
